(Last update: 03-03-2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 data is preliminary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بيانات 2023 أولية,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestic Tourists Number & Spending by Destination- Main Governorate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,عدد السياح المحليين والإنفاق حسب الوجهات- المحافظات الرئيسة,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,منطقة الباحة,,,منطقة القصيم,,,,منطقة عسير,,,المنطقة الشرقية,,,,منطقة حائل,,منطقة جازان,,منطقة الجوف,,,منطقة المدينة المنورة,,,,منطقة مكة المكرمة,,,,,منطقة نجران,,منطقة الحدود الشمالية,,منطقة الرياض,,منطقة تبوك,,,,,,,,
,,,,Albaha province,,,AlQassim Province,,,,Aseer Province,,,Eastern Province,,,,Hail Province,,Jazan Province,,Jouf Province,,,Madinah Province,,,,Makkah Province,,,,,Najran Province,,Northern Borders Province,,Riyadh Province,,Tabuk Province,,,,,,,,
,,Month,Indicator,الباحة,بلجرشي,أخرى الباحة,بريدة,الرس,عنيزة,أخرى القصيم,أبها,خميس مشيط,أخرى عسير,الأحساء,الخبر,الدمام,أخرى الشرقية,حائل,أخرى حائل,جازان,أخرى جازان,القريات,سكاكا,أخرى الجوف,العلا,المدينة المنورة,ينبع,أخرى المدينة المنورة,جدة,مكة المكرمة,رابغ,الطائف,أخرى مكة المكرمة,نجران,أخرى نجران,عرعر,أخرى الحدود الشمالية,الرياض,أخرى الرياض,الوجه,ضباء,تبوك,أملج,أخرى تبوك,الإجمالي,المؤشر,الشهر,
,,,,Al Bahah,BILJURASHI,Other AlBaha,Buraydah,Rass,Unayzah,Other AlQassim,Abha,Khamis Mushait,Other Aseer,Al Ahsa,Al Khobar,Dammam,Other Eastern,Hail,Other Hail,Jazan,Other Jazan,Al Qurayyat,Sakaka,Other Jouf,Al Ula,Madinah,Yanbu,Other Madinah,Jeddah,Makkah,Rabigh,Taif,Other Makkah,Najran,Other Najran,Arar,Other NB,Riyadh,Other Riyadh,Al Wajh,Duba,Tabuk,Umluj,Other Tabuk,TOTAL,,,
,2023,January,Tourists Number (Overnight Visitors),22752,5727,11099,208857,5322,41121,17999,99792,114403,315975,183465,98894,316248,338716,110765,10958,257252,109130,23371,42864,6418,29802,308634,60674,19156,687093,499061,34818,132354,335136,80112,24042,51744,39882,1035749,298109,12999,24770,113904,14777,21229,6165173,عدد السياح (زوار المبيت),يناير,2023
,,,Tourists Spending (SAR),23231191,5122769,5948499,214107673,21297550,56378504,31781389,127687261,124522642,274475153,141283002,107196505,460369867,378952587,219263893,24731072,161476368,119640038,30929883,113215614,4324835,34983982,318351369,93062875,12786633,1008632744,627352158,15440035,125017546,185129589,136670491,32295234,127434879,67992332,2293543087,591767335,7627523,11969849,236951459,15644434,22478754,8611068604,إنفاق السياح (ريال),,
,,February,Tourists Number (Overnight Visitors),22506,5896,1957,322066,17705,36824,51459,118155,93211,229639,209560,106575,283108,318738,117447,7012,152880,89856,20304,49987,7161,26192,293251,55209,9694,633102,464559,30682,126313,162474,63445,11009,53417,36397,890774,213486,11431,21966,95561,13608,21452,5496068,عدد السياح (زوار المبيت),فبراير,
,,,Tourists Spending (SAR),35529854,6003464,1852780,360134421,13470617,47962288,67934310,154370296,146957304,253096864,282175039,128440373,343435464,331389206,210853561,11533778,96485232,79481070,50624188,94211959,18560384,56275298,313423782,71524601,10770829,1014478326,640337802,13375859,101844804,143471934,127317874,34827413,136355480,41280158,1876232600,344349477,7013989,10554413,269274056,10531981,12953222,7970696348,إنفاق السياح (ريال),,
,,March,Tourists Number (Overnight Visitors),35111,6260,11862,212256,6123,48268,38452,164027,118037,210075,231594,140433,347437,373478,149274,47187,70799,114316,25840,61972,8076,29918,353038,66738,41567,832742,713234,31234,195834,149876,64120,12715,49042,35111,914755,237907,14747,23170,126358,17915,34792,6365690,عدد السياح (زوار المبيت),مارس,
,,,Tourists Spending (SAR),51446924,5075002,8402144,362807090,9451789,45903879,44200964,272250322,199161798,191692070,162481889,155391142,537858615,544091402,246838209,54368820,101158151,185485540,22051185,115305532,20541376,43520004,485995510,97113057,28671109,1760143445,800889901,21078221,321933038,156826443,147637418,11795217,126501425,51689634,1975052191,489942155,10334665,14667995,286636819,10764205,10040966,10187197261,إنفاق السياح (ريال),,
